userName,cityName,rating
12882,1,4
12882,32,3.5
12882,47,5
12882,50,5
12882,110,4.5
12882,150,3.5
12882,158,2
12882,165,4
12882,260,4
12882,296,5
12882,318,5
12882,356,5
12882,364,3.5
12882,380,2.5
12882,457,4
12882,480,3.5
12882,515,3.5
12882,527,4
12882,552,2.5
12882,588,3
12882,589,2.5
12882,590,3
12882,592,3.5
12882,593,4.5
12882,648,4
12882,780,0.5
12882,784,1.5
12882,805,4.5
12882,1036,4.5
12882,1094,3
12882,1097,4
12882,1148,4
12882,1196,4.5
12882,1198,5
12882,1210,4.5
12882,1225,4
12882,1240,3.5
12882,1246,4.5
12882,1270,4.5
12882,1291,4.5
12882,1380,2
12882,1580,4
12882,1597,3
12882,1673,3.5
12882,1704,5
12882,1721,3
12882,1784,4.5
12882,1961,5
12882,2006,3.5
12882,2028,3.5
12882,2193,2
12882,2194,4.5
12882,2268,5
12882,2529,4.5
12882,2571,4.5
12882,2628,4
12882,2706,3.5
12882,2716,3
12882,2762,5
12882,2858,4
12882,2918,4
12882,2959,5
12882,3105,4.5
12882,3147,4.5
12882,3176,4
12882,3178,5
12882,3527,4
12882,3578,5
12882,3623,3
12882,3916,4
12882,3977,3.5
12882,4011,4.5
12882,4034,4
12882,4306,4.5
12882,4326,4
12882,4886,4.5
12882,4963,4.5
12882,4973,5
12882,4993,5
12882,4995,5
12882,5349,4.5
12882,5418,4.5
12882,5445,4.5
12882,5952,5
12882,5989,5
12882,5995,4
12882,6333,5
12882,6377,4.5
12882,6539,4.5
12882,6565,4.5
12882,7153,4.5
12882,7361,4.5
12882,7438,5
12882,8360,5
12882,8636,4.5
12882,8665,4.5
12882,8958,4
12882,8961,5
12882,8970,4
12882,33166,3.5
12882,33660,4.5
12882,33794,3.5
12882,40815,4.5
12882,40819,4.5
12882,41566,3
12882,44199,4
320,47,4
320,50,5
320,260,4.5
320,296,4.5
320,508,4.5
320,527,4.5
320,541,3.5
320,648,2.5
320,750,4
320,923,5
320,1136,5
320,1196,4.5
320,1197,4
320,1198,4
320,1208,3.5
320,1304,4.5
320,1396,4.5
320,1517,3.5
320,1527,3.5
320,1584,3.5
320,1597,2.5
320,1639,3
320,1917,2
320,1997,3
320,2011,3.5
320,2012,3.5
320,2028,4
320,2174,3.5
320,2329,4
320,2359,2
320,2502,4
320,2571,4.5
320,2617,1.5
320,2710,2
320,2762,4
320,2858,4.5
320,2959,5
320,3052,3.5
320,3481,3
